"category_id,category_name,keyword_ko,notes"
"1,self_harm_indicators,자해,"
"1,self_harm_indicators,자살,"
"1,self_harm_indicators,죽고싶,"
"1,self_harm_indicators,죽고 싶,"
"1,self_harm_indicators,죽,"
"1,self_harm_indicators,상처,"
"1,self_harm_indicators,피,"

"2,abuse_related_terms,학대,"
"2,abuse_related_terms,폭력,"
"2,abuse_related_terms,성추행,"
"2,abuse_related_terms,성폭행,"
"2,abuse_related_terms,때리,"
"2,abuse_related_terms,맞,"

"3,crisis_situations,가출,"
"3,crisis_situations,집나가,"
"3,crisis_situations,집 나가,"

"4,emotional_distress,무섭,"
"4,emotional_distress,두렵,"
"4,emotional_distress,괴로,"

"5,mental_health_symptoms,우울,"
"5,mental_health_symptoms,불안,"

"6,social_isolation,괴롭힘,"
"6,social_isolation,따돌림,"
"6,social_isolation,왕따,"
"6,social_isolation,혼자,"
"6,social_isolation,외롭,"

"7,help_seeking_expressions,도와주세요,"
"7,help_seeking_expressions,살려주세요,"
"7,help_seeking_expressions,도와줘,"

"8,severe_distress_markers,힘들,"
"8,severe_distress_markers,아파,"
"8,severe_distress_markers,슬프,"
"8,severe_distress_markers,싫어,"
"8,severe_distress_markers,다쳤,"
